file,prefix,decorator_path,method,function,dependencies
app/api/sub_users.py,/sub-users,/,POST,create_sub_user,get_current_user;get_db
app/api/sub_users.py,/sub-users,/,GET,get_sub_users,get_current_user;get_db
app/api/sub_users.py,/sub-users,/{sub_user_id}/permissions,PUT,update_sub_user_permissions,get_current_user;get_db
app/api/sub_users.py,/sub-users,/{sub_user_id}/limits,PUT,update_sub_user_limits,get_current_user;get_db
app/api/sub_users.py,/sub-users,/{sub_user_id}/api-keys,POST,create_sub_user_api_key,get_current_user;get_db
app/api/sub_users.py,/sub-users,/{sub_user_id}/usage,GET,get_sub_user_usage,get_current_user;get_db
app/api/sub_users.py,/sub-users,/{sub_user_id},DELETE,delete_sub_user,get_current_user;get_db
app/api/debug.py,,/debug/verify-clerk,POST,debug_verify_clerk,
app/api/templates.py,/templates,/,POST,create_template,get_current_user_unified
app/api/templates.py,/templates,/,GET,get_all_templates,
app/api/templates.py,/templates,/my,GET,get_my_templates,get_current_user_unified
app/api/templates.py,/templates,/my-templates,GET,get_my_templates_legacy,get_current_user_unified
app/api/templates.py,/templates,/favorites,GET,get_favorite_templates,get_current_user_unified
app/api/templates.py,/templates,/{template_id},GET,get_template_by_id,
app/api/templates.py,/templates,/{template_id},PUT,update_template,get_current_user_unified
app/api/templates.py,/templates,/{template_id},DELETE,delete_template,get_current_user_unified
app/api/templates.py,/templates,/categories,GET,get_template_categories,
app/api/templates.py,/templates,/categories/list,GET,get_template_categories,
app/api/templates.py,/templates,/stats/overview,GET,get_template_stats,
app/api/templates.py,/templates,/{template_id}/like,POST,like_template,get_current_user_unified
app/api/templates.py,/templates,/{template_id}/download,POST,download_template,get_current_user_unified
app/api/verify.py,,/verify-user,POST,verify_user,get_database
app/api/sub_user_dashboard.py,/dashboard/sub-users,/overview,GET,get_dashboard_overview,get_current_user_from_token;get_db
app/api/sub_user_dashboard.py,/dashboard/sub-users,/activity,GET,get_sub_user_activity,get_current_user_from_token;get_db
app/api/sub_user_dashboard.py,/dashboard/sub-users,/usage-trends,GET,get_usage_trends,get_current_user_from_token;get_db
app/api/sub_user_dashboard.py,/dashboard/sub-users,/limits-analysis,GET,get_limits_analysis,get_current_user_from_token;get_db
app/api/components.py,/components,/,POST,create_component,get_current_user_unified
app/api/components.py,/components,/,GET,get_all_components,
app/api/components.py,/components,/my,GET,get_my_components,get_current_user_unified
app/api/components.py,/components,/my-components,GET,get_my_components_legacy,get_current_user_unified
app/api/components.py,/components,/{component_id},GET,get_component,
app/api/components.py,/components,/{component_id},PUT,update_component,get_current_user_unified
app/api/components.py,/components,/{component_id},DELETE,delete_component,get_current_user_unified
app/api/llm.py,/llm,/chat/completions,POST,chat_completions,get_current_user_unified;get_database;get_llm_proxy_service
app/api/llm.py,/llm,/completions,POST,text_completions,get_current_user_unified;get_llm_proxy_service
app/api/llm.py,/llm,/embeddings,POST,embeddings,get_current_user_unified;get_llm_proxy_service
app/api/llm.py,/llm,/models,GET,list_models,get_current_user_unified;get_llm_proxy_service
app/api/llm.py,/llm,/providers,GET,list_providers,get_current_user_unified;get_llm_proxy_service
app/api/llm.py,/llm,/health,GET,health_check,get_current_user_unified;get_llm_proxy_service
app/api/tokens.py,/tokens,/balance,GET,get_token_balance,get_current_user_unified;get_database
app/api/tokens.py,/tokens,/usage,GET,get_token_usage,get_current_user_unified;get_database
app/api/tokens.py,/tokens,/reserve,POST,reserve_tokens,get_current_user_unified;get_database
app/api/tokens.py,/tokens,/consume,POST,consume_tokens,get_current_user_unified;get_database
app/api/tokens.py,/tokens,/limits,GET,get_token_limits,get_current_user_unified;get_database
app/api/tokens.py,/tokens,/stats,GET,get_usage_stats,get_current_user_unified;get_database
app/api/tokens.py,/tokens,/pricing/{provider}/{model_name},GET,get_model_pricing,
app/api/organizations.py,/organizations,/,POST,create_organization,get_current_user;get_db
app/api/organizations.py,/organizations,/,GET,get_user_organizations,get_current_user;get_db
app/api/organizations.py,/organizations,/{org_id},GET,get_organization,get_current_user;get_db
app/api/organizations.py,/organizations,/{org_id},PUT,update_organization,get_current_user;get_db
app/api/organizations.py,/organizations,/{org_id},DELETE,delete_organization,get_current_user;get_db
app/api/organizations.py,/organizations,/{org_id}/members,GET,get_organization_members,get_current_user;get_db
app/api/organizations.py,/organizations,/{org_id}/members/invite,POST,invite_organization_member,get_current_user;get_db
app/api/organizations.py,/organizations,/invitations/{token}/accept,POST,accept_organization_invitation,get_current_user;get_db
app/api/organizations.py,/organizations,/{org_id}/members/{member_id},PUT,update_organization_member,get_current_user;get_db
app/api/organizations.py,/organizations,/{org_id}/members/{member_id},DELETE,remove_organization_member,get_current_user;get_db
app/api/organizations.py,/organizations,/{org_id}/api-keys,POST,create_organization_api_key,get_current_user;get_db
app/api/organizations.py,/organizations,/{org_id}/api-keys,GET,get_organization_api_keys,get_current_user;get_db
app/api/organizations.py,/organizations,/{org_id}/api-keys/{key_id},DELETE,revoke_organization_api_key,get_current_user;get_db
app/api/organizations.py,/organizations,/{org_id}/keys,POST,create_organization_key,get_current_user;get_db
app/api/organizations.py,/organizations,/keys/{key_id},PUT,update_organization_key,get_current_user;get_db
app/api/organizations.py,/organizations,/keys/{key_id},DELETE,delete_organization_key,get_current_user;get_db
app/api/organizations.py,/organizations,/{org_id}/stats,GET,get_organization_stats,get_current_user;get_db
app/api/payments.py,/payments,/create-order,POST,create_payment_order,get_current_user_unified;get_database
app/api/payments.py,/payments,/verify-payment,POST,verify_payment,get_current_user_unified;get_database
app/api/payments.py,/payments,/orders,GET,get_user_orders,get_current_user_unified;get_database
app/api/payments.py,/payments,/order/{order_id},GET,get_order_details,get_current_user_unified;get_database
app/api/payments.py,/payments,/refund/{payment_id},POST,refund_payment,get_current_user_unified;get_database
app/api/payments.py,/payments,/config,GET,get_payment_config,
app/api/admin.py,/admin,/users,GET,get_users,require_admin
app/api/admin.py,/admin,/content,GET,get_content,require_admin
app/api/admin.py,/admin,/analytics,GET,get_analytics,require_admin
app/api/admin.py,/admin,/content/{content_id}/approve,POST,approve_content,require_admin
app/api/admin.py,/admin,/users/{user_id}/manage,POST,manage_user,require_admin
app/api/admin.py,/admin,/users/{user_id},PUT,update_user,require_admin
app/api/admin.py,/admin,/usage-stats,GET,usage_stats,get_database;require_admin
app/api/admin.py,/admin,/revenue,GET,revenue_stats,get_database;require_admin
app/api/admin.py,/admin,/users/{user_id}/plan,PUT,change_user_plan,get_database;require_admin
app/api/admin.py,/admin,/system-stats,GET,system_stats,get_database;require_admin
app/api/subscriptions.py,/subscriptions,/plans,GET,list_plans,get_current_user_unified;get_database;get_db
app/api/subscriptions.py,/subscriptions,/plans/compare,GET,compare_plans,get_current_user_unified;get_database;get_db
app/api/subscriptions.py,/subscriptions,/current,GET,get_current_subscription,get_current_user;get_current_user_unified;get_database;get_db
app/api/subscriptions.py,/subscriptions,/subscribe,POST,subscribe_to_plan,get_current_user;get_database;get_db
app/api/subscriptions.py,/subscriptions,/upgrade,PUT,upgrade_subscription,get_current_user;get_database;get_db
app/api/subscriptions.py,/subscriptions,/downgrade,POST,downgrade_subscription,get_current_user;get_database;get_db
app/api/subscriptions.py,/subscriptions,/cancel,POST,cancel_subscription,get_current_user;get_database;get_db
app/api/subscriptions.py,/subscriptions,/usage,GET,get_usage_stats,get_current_user;get_database;get_db
app/api/subscriptions.py,/subscriptions,/upgrade-options,GET,get_upgrade_options,get_current_user;get_database;get_db
app/api/subscriptions.py,/subscriptions,/payment-methods,GET,get_payment_methods,get_current_user;get_database;get_db
app/api/subscriptions.py,/subscriptions,/webhooks/stripe,POST,stripe_webhook,get_database;get_db
app/api/users.py,/users,/me,GET,get_my_profile,get_current_user_unified;get_database
app/api/users.py,/users,/me/glm-api-key,POST,set_glm_api_key,get_current_user_unified;get_database;get_db
app/api/users.py,/users,/me,PUT,update_my_profile,get_current_user_unified;get_database;get_db
app/api/users.py,/users,/{user_id},GET,get_user,get_current_user_unified;get_database;get_db
app/api/users.py,/users,/me/token-usage,POST,log_my_token_usage,get_current_user_unified;get_database;get_db
app/api/users.py,/users,/me/token-usage,GET,get_my_token_usage,get_current_user_unified;get_database;get_db
app/api/users.py,/users,/me/token-usage/stats,GET,get_my_token_usage_stats,get_current_user_unified;get_database;get_db
app/api/users.py,/users,/me/api-keys,POST,create_my_api_key,get_current_user_unified;get_database;get_db
app/api/users.py,/users,/me/api-keys,GET,get_my_api_keys,get_current_user_unified;get_database;get_db
app/api/users.py,/users,/me/api-keys/{api_key_id},DELETE,deactivate_my_api_key,get_current_user;get_current_user_unified;get_database;get_db
app/api/users.py,/users,/user/name-matches,GET,user_name_matches,get_current_user;get_database;get_db
app/api/extension_auth.py,,/extension/sign-in,GET,extension_sign_in,get_redis
app/api/extension_auth.py,,/v1/client/sign_ins,POST,client_sign_ins,get_database;get_redis
app/api/extension_auth.py,,/v1/client/sessions/{session_id}/tokens,POST,create_session_token,get_database;get_redis
app/api/extension_auth.py,,/v1/me,GET,get_user_me,get_database
app/api/extension_auth.py,,/v1/me/organization_memberships,GET,get_organization_memberships,get_database
app/api/extension_auth.py,,/v1/client/sessions/{session_id}/remove,POST,remove_session,get_redis
app/api/extension_auth.py,,/extension/clerk-to-ticket,POST,clerk_to_ticket,get_database;get_redis
app/api/auth.py,/auth,/providers,GET,list_oauth_providers,
app/api/auth.py,/auth,/register,POST,register_user,get_database
app/api/auth.py,/auth,/signup,POST,signup_user,get_database
app/api/auth.py,/auth,/login,POST,login_user,get_database
app/api/auth.py,/auth,/login-json,POST,login_user_json,get_database
app/api/auth.py,/auth,/google/login,GET,google_login,get_redis
app/api/auth.py,/auth,/google/callback,GET,google_callback,get_database;get_redis
app/api/auth.py,/auth,/token,POST,exchange_authorization_code,get_database;get_redis
app/api/auth.py,/auth,/refresh,POST,refresh_access_token,get_database
app/api/auth.py,/auth,/logout,POST,logout,get_current_user_unified;get_database
app/api/auth.py,/auth,/me,GET,get_current_user_info,get_current_user_unified
app/api/auth.py,/auth,/debug/oauth,GET,debug_oauth_flow,
app/api/auth.py,/auth,/debug/cleanup,GET,cleanup_oauth_session,get_current_user_unified
app/api/auth.py,/auth,/vscode-config,GET,get_vscode_configuration,get_current_user_unified
app/api/auth.py,/auth,/extension/clerk-to-ticket,POST,clerk_to_ticket,get_current_user_unified;get_redis
app/api/auth.py,/auth,/extension/sign-in,GET,extension_sign_in,get_redis
app/api/auth.py,/auth,/extension/exchange-ticket,POST,exchange_extension_ticket,get_redis
app/api/api_keys.py,/api/keys,/,POST,create_api_key,apply_rate_limit;get_current_user;get_db
app/api/api_keys.py,/api/keys,/,GET,list_api_keys,apply_rate_limit;get_current_user;get_db
app/api/api_keys.py,/api/keys,/{key_id},DELETE,revoke_api_key,apply_rate_limit;get_current_user;get_db
app/api/api_keys.py,/api/keys,/validate,GET,validate_current_key,apply_rate_limit;get_current_user_unified
app/endpoints/template_interactions.py,,/templates/{template_id}/comments,POST,create_template_comment,get_current_user_from_token
app/endpoints/template_interactions.py,,/templates/{template_id}/comments,GET,get_template_comments,get_current_user_from_token
app/endpoints/template_interactions.py,,/templates/{template_id}/comments/{comment_id},PUT,update_template_comment,get_current_user_from_token
app/endpoints/template_interactions.py,,/templates/{template_id}/comments/{comment_id},DELETE,delete_template_comment,get_current_user_from_token
app/endpoints/template_interactions.py,,/templates/{template_id}/comments/{comment_id}/helpful,POST,toggle_helpful_vote,require_auth
app/endpoints/template_interactions.py,,/templates/{template_id}/comments/{comment_id}/replies,GET,get_comment_replies,get_current_user_from_token
app/endpoints/template_interactions.py,,/templates/{template_id}/comments/{comment_id}/flag,POST,flag_comment,require_auth
app/endpoints/payments.py,,/payments/create-item-order,POST,create_item_order,require_auth
app/endpoints/payments.py,,/payments/verify-item-purchase,POST,verify_item_purchase,require_auth
app/endpoints/payments.py,,/user/purchased-items,GET,get_user_purchased_items,require_auth
app/endpoints/payments.py,,/cart/add,POST,add_to_cart,require_auth
app/endpoints/payments.py,,/cart,GET,get_cart,require_auth
app/endpoints/payments.py,,/cart/item/{item_id},DELETE,remove_from_cart,require_auth
app/endpoints/payments.py,,/cart/checkout,POST,checkout_cart,require_auth
app/endpoints/payments.py,,/cart/verify-purchase,POST,verify_cart_purchase,require_auth
app/endpoints/payments.py,,/cart/clear,POST,clear_cart,require_auth
app/endpoints/payments.py,,/cart/summary,GET,get_cart_summary,require_auth
app/endpoints/component_interactions.py,,/components/{component_id}/like,POST,toggle_component_like,require_auth
app/endpoints/component_interactions.py,,/components/{component_id}/view,POST,record_component_view,get_current_user_from_token
app/endpoints/component_interactions.py,,/components/{component_id}/download,POST,record_component_download,require_auth
app/endpoints/component_interactions.py,,/components/{component_id}/comments,POST,create_component_comment,require_auth
app/endpoints/component_interactions.py,,/components/{component_id}/comments,GET,get_component_comments,get_current_user_from_token
app/endpoints/component_interactions.py,,/components/{component_id}/comments/{comment_id},PUT,update_component_comment,require_auth
app/endpoints/component_interactions.py,,/components/{component_id}/comments/{comment_id},DELETE,delete_component_comment,require_auth
app/endpoints/component_interactions.py,,/components/{component_id}/comments/{comment_id}/helpful,POST,toggle_component_helpful_vote,require_auth
app/endpoints/component_interactions.py,,/components/{component_id}/comments/{comment_id}/replies,GET,get_component_comment_replies,get_current_user_from_token
app/endpoints/component_interactions.py,,/components/{component_id}/comments/{comment_id}/flag,POST,flag_component_comment,require_auth
app/endpoints/component_interactions.py,,/components/{component_id}/analytics,GET,get_component_analytics,require_auth
app/endpoints/developer_earnings.py,,/developer/earnings,GET,get_developer_earnings,require_creator_or_admin
app/endpoints/developer_earnings.py,,/developer/payout-request,POST,create_payout_request,require_creator_or_admin
app/endpoints/developer_earnings.py,,/developer/payout-requests,GET,get_payout_requests,require_creator_or_admin
app/endpoints/developer_earnings.py,,/developer/earnings/settings,PUT,update_earnings_settings,require_creator_or_admin
app/endpoints/developer_earnings.py,,/admin/payout-requests,GET,admin_get_payout_requests,require_admin
app/endpoints/developer_earnings.py,,/admin/payout-requests/{request_id},PUT,admin_update_payout_request,require_admin
app/endpoints/developer_earnings.py,,/admin/payout-requests/{request_id}/complete,POST,admin_complete_payout,require_admin
app/endpoints/admin_moderation.py,,/admin/comments,GET,get_all_comments_for_moderation,require_admin
app/endpoints/admin_moderation.py,,/admin/comments/flagged,GET,get_flagged_comments,require_admin
app/endpoints/admin_moderation.py,,/admin/comments/{comment_id}/moderate,POST,moderate_comment,require_admin
app/endpoints/admin_moderation.py,,/admin/comments/{comment_id},DELETE,delete_comment_admin,require_admin
app/endpoints/admin_moderation.py,,/admin/analytics/interactions,GET,get_interaction_analytics,require_admin
app/endpoints/user_dashboard.py,,/user/dashboard,GET,get_user_dashboard,require_auth
app/endpoints/user_dashboard.py,,/user/purchased-content,GET,get_purchased_content,require_auth
app/endpoints/user_dashboard.py,,/user/recommendations,GET,get_user_recommendations_endpoint,require_auth
